Campaign	Ad Group	AdGroup Status	Display Network Max CPC
NEW_SKU_CAMPAIGN	CP6200LGR	Paused	0.0
NEW_SKU_CAMPAIGN	CP6220	Paused	0.0
NEW_SKU_CAMPAIGN	CPL001	Paused	0.0
NEW_SKU_CAMPAIGN	CR0001	Paused	0.0
NEW_SKU_CAMPAIGN	CR0996	Paused	0.0
NEW_SKU_CAMPAIGN	CR1000	Paused	0.0
NEW_SKU_CAMPAIGN	CR1073	Paused	0.0
NEW_SKU_CAMPAIGN	CR1073BK	Paused	0.0
NEW_SKU_CAMPAIGN	CR1090	Active	0.0
NEW_SKU_CAMPAIGN	CR1090YL	Active	0.0
NEW_SKU_CAMPAIGN	CR1380	Paused	0.0
NEW_SKU_CAMPAIGN	CR1509	Paused	0.0
NEW_SKU_CAMPAIGN	CR1509BK	Paused	0.0
NEW_SKU_CAMPAIGN	CR1509WT	Paused	0.0
NEW_SKU_CAMPAIGN	CR1509YL	Paused	0.0
NEW_SKU_CAMPAIGN	CR1510	Paused	0.0
NEW_SKU_CAMPAIGN	CR1510YL	Paused	0.0
NEW_SKU_CAMPAIGN	CR1550	Paused	0.0
NEW_SKU_CAMPAIGN	CR1550BR	Paused	0.0
NEW_SKU_CAMPAIGN	CR1900	Paused	0.0
NEW_SKU_CAMPAIGN	CR1900BK	Paused	0.0
NEW_SKU_CAMPAIGN	CR1900GE	Paused	0.0
NEW_SKU_CAMPAIGN	CR1900OR	Active	0.0
NEW_SKU_CAMPAIGN	CR2404	Active	0.0
NEW_SKU_CAMPAIGN	CR2494	Paused	0.0
NEW_SKU_CAMPAIGN	CR2494BL	Active	0.0
NEW_SKU_CAMPAIGN	CR2494YL	Paused	0.0
NEW_SKU_CAMPAIGN	CR5016	Paused	0.0
NEW_SKU_CAMPAIGN	CR6501	Paused	0.0
NEW_SKU_CAMPAIGN	CR6501BL	Paused	0.0
NEW_SKU_CAMPAIGN	CR6501SL	Paused	0.0
NEW_SKU_CAMPAIGN	CR6501YL	Paused	0.0
NEW_SKU_CAMPAIGN	CR8500	Active	0.0
NEW_SKU_CAMPAIGN	CR8500BR	Active	0.0
NEW_SKU_CAMPAIGN	CR8800	Paused	0.0
NEW_SKU_CAMPAIGN	CR9006	Paused	0.0
NEW_SKU_CAMPAIGN	CS0036	Paused	0.0
NEW_SKU_CAMPAIGN	CS0048	Paused	0.0
NEW_SKU_CAMPAIGN	CS0601X2	Paused	0.0
NEW_SKU_CAMPAIGN	CS2026X2	Paused	0.0
NEW_SKU_CAMPAIGN	CS5003	Paused	0.0
NEW_SKU_CAMPAIGN	CS5222	Paused	0.0
NEW_SKU_CAMPAIGN	CS6224	Paused	0.0
NEW_SKU_CAMPAIGN	CS7022BG	Active	0.0
NEW_SKU_CAMPAIGN	CS7022BK	Paused	0.0
NEW_SKU_CAMPAIGN	CS7022GK	Paused	0.0
NEW_SKU_CAMPAIGN	CS7022KE	Paused	0.0
NEW_SKU_CAMPAIGN	CS7022RD	Active	0.0
NEW_SKU_CAMPAIGN	CS7022YL	Paused	0.0
NEW_SKU_CAMPAIGN	CS7700BG	Paused	0.0
NEW_SKU_CAMPAIGN	CS7700BK	Paused	0.0
NEW_SKU_CAMPAIGN	CS7700YL	Paused	0.0
NEW_SKU_CAMPAIGN	CS7701AB	Paused	0.0
NEW_SKU_CAMPAIGN	CS7701AR	Paused	0.0
NEW_SKU_CAMPAIGN	CS7701BA	Paused	0.0
NEW_SKU_CAMPAIGN	CS7701BK	Active	0.0
NEW_SKU_CAMPAIGN	CS7701EK	Active	0.0
NEW_SKU_CAMPAIGN	CS7701ER	Paused	0.0
NEW_SKU_CAMPAIGN	CS7701EY	Paused	0.0
NEW_SKU_CAMPAIGN	CS7701YL	Paused	0.0
NEW_SKU_CAMPAIGN	CS8801BA	Active	0.0
NEW_SKU_CAMPAIGN	CS8801BK	Paused	0.0
NEW_SKU_CAMPAIGN	CS8801EK	Paused	0.0
