id	title	description	google_product_category	product_type	link	image_link	condition	availability	price	shipping	brand	mpn
001871PIST400X80	Elegant Cut And Loop pile Runner Pistachio 400x80cm	Elegant Cut And Loop pile Runner Pistachio 400x80cm	Home & Garden > Decor > Rugs	Rugs > ~ 400cm x 80cm	http://www.soldsmart.com.au/Elegant-Cut-And-Loop-pile-Runner-Pistachio-400x80cm	http://www.soldsmart.com.au/files/001871PIST400X80/001871PIST400X80_gshop_img.jpg	new	in stock	224.95 AUD	AU:::19.95 AUD	Soldsmart	001871PIST400X80
001871RED165X115	Elegant Cut and Loop Pile Rug Red 165x115cm	Elegant Cut and Loop Pile Rug Red 165x115cm	Home & Garden > Decor > Rugs	Rugs > ~ 165cm x 115cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Red-165x115cm	http://www.soldsmart.com.au/files/001871RED165X115/001871RED165X115_gshop_img.jpg	new	in stock	154.95 AUD	AU:::14.95 AUD	Soldsmart	001871RED165X115
001871RED225X155	Elegant Cut and Loop Pile Rug Red 225x155cm	Elegant Cut and Loop Pile Rug Red 225x155cm	Home & Garden > Decor > Rugs	Rugs > ~ 225cm x 155cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Red-225x155cm	http://www.soldsmart.com.au/files/001871RED225X155/001871RED225X155_gshop_img.jpg	new	in stock	294.95 AUD	AU:::24.95 AUD	Soldsmart	001871RED225X155
001871RED280X190	Elegant Cut and Loop Pile Rug Red 280x190cm	Elegant Cut and Loop Pile Rug Red 280x190cm	Home & Garden > Decor > Rugs	Rugs > ~ 280cm x 190cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Red-280x190cm	http://www.soldsmart.com.au/files/001871RED280X190/001871RED280X190_gshop_img.jpg	new	in stock	454.95 AUD	AU:::29.95 AUD	Soldsmart	001871RED280X190
001871RED300X80	Elegant Cut And Loop pile Runner Red 300x80cm	Elegant Cut And Loop pile Runner Red 300x80cm	Home & Garden > Decor > Rugs	Rugs > ~ 300cm x 80cm	http://www.soldsmart.com.au/Elegant-Cut-And-Loop-pile-Runner-Red-300x80cm	http://www.soldsmart.com.au/files/001871RED300X80/001871RED300X80_gshop_img.jpg	new	in stock	174.95 AUD	AU:::19.95 AUD	Soldsmart	001871RED300X80
001871RED320X230	Elegant Cut and Loop Pile Rug Red 320x230cm	Elegant Cut and Loop Pile Rug Red 320x230cm	Home & Garden > Decor > Rugs	Rugs > ~ 320cm x 230cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Red-320x230cm	http://www.soldsmart.com.au/files/001871RED320X230/001871RED320X230_gshop_img.jpg	new	in stock	634.95 AUD	AU:::40.44 AUD	Soldsmart	001871RED320X230
001871RED400X80	Elegant Cut And Loop pile Runner Red 400x80cm	Elegant Cut And Loop pile Runner Red 400x80cm	Home & Garden > Decor > Rugs	Rugs > ~ 400cm x 80cm	http://www.soldsmart.com.au/Elegant-Cut-And-Loop-pile-Runner-Red-400x80cm	http://www.soldsmart.com.au/files/001871RED400X80/001871RED400X80_gshop_img.jpg	new	in stock	224.95 AUD	AU:::19.95 AUD	Soldsmart	001871RED400X80
001871TAUPE165X115	Elegant Cut and Loop Pile Rug Taupe 165x115cm	Elegant Cut and Loop Pile Rug Taupe 165x115cm	Home & Garden > Decor > Rugs	Rugs > ~ 165cm x 115cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Taupe-165x115cm	http://www.soldsmart.com.au/files/001871TAUPE165X115/001871TAUPE165X115_gshop_img.jpg	new	in stock	154.95 AUD	AU:::14.95 AUD	Soldsmart	001871TAUPE165X115
001871TAUPE225X155	Elegant Cut and Loop Pile Rug Taupe 225x155cm	Elegant Cut and Loop Pile Rug Taupe 225x155cm	Home & Garden > Decor > Rugs	Rugs > ~ 225cm x 155cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Taupe-225x155cm	http://www.soldsmart.com.au/files/001871TAUPE225X155/001871TAUPE225X155_gshop_img.jpg	new	in stock	294.95 AUD	AU:::24.95 AUD	Soldsmart	001871TAUPE225X155
001871TAUPE280X190	Elegant Cut and Loop Pile Rug Taupe 280x190cm	Elegant Cut and Loop Pile Rug Taupe 280x190cm	Home & Garden > Decor > Rugs	Rugs > ~ 280cm x 190cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Taupe-280x190cm	http://www.soldsmart.com.au/files/001871TAUPE280X190/001871TAUPE280X190_gshop_img.jpg	new	in stock	454.95 AUD	AU:::29.95 AUD	Soldsmart	001871TAUPE280X190
