Campaign	Ad Group	AdGroup Status
NEW_SKU_CAMPAIGN	CC1610	Paused
NEW_SKU_CAMPAIGN	CC1710	Active
NEW_SKU_CAMPAIGN	CC1810	Active
NEW_SKU_CAMPAIGN	CC1910	Paused
NEW_SKU_CAMPAIGN	CC1990	Paused
NEW_SKU_CAMPAIGN	CC3320	Active
NEW_SKU_CAMPAIGN	CC4000	Paused
NEW_SKU_CAMPAIGN	CC5200	Paused
NEW_SKU_CAMPAIGN	CC5245	Paused
NEW_SKU_CAMPAIGN	CC5245YL	Paused
NEW_SKU_CAMPAIGN	CC5300	Paused
NEW_SKU_CAMPAIGN	CC5500	Active
NEW_SKU_CAMPAIGN	CC6084H	Paused
NEW_SKU_CAMPAIGN	CC6800	Active
NEW_SKU_CAMPAIGN	CD1220	Paused
NEW_SKU_CAMPAIGN	CF0004GR	Active
NEW_SKU_CAMPAIGN	CF0004RD	Active
NEW_SKU_CAMPAIGN	CF0004YL	Paused
NEW_SKU_CAMPAIGN	CF0012BK	Paused
NEW_SKU_CAMPAIGN	CF0012BR	Paused
NEW_SKU_CAMPAIGN	CF0012DB	Paused
NEW_SKU_CAMPAIGN	CF0012LW	Paused
NEW_SKU_CAMPAIGN	CF0165	Paused
NEW_SKU_CAMPAIGN	CF0165GR	Paused
NEW_SKU_CAMPAIGN	CF0165YL	Paused
NEW_SKU_CAMPAIGN	CF1408	Paused
NEW_SKU_CAMPAIGN	CF1500	Paused
NEW_SKU_CAMPAIGN	CF2980	Paused
NEW_SKU_CAMPAIGN	CF4486	Active
NEW_SKU_CAMPAIGN	CF8470	Active
NEW_SKU_CAMPAIGN	CG2756	Paused
NEW_SKU_CAMPAIGN	CG6061	Paused
NEW_SKU_CAMPAIGN	CG7192	Active
NEW_SKU_CAMPAIGN	CH0110BBL	Paused
NEW_SKU_CAMPAIGN	CH0110BRD	Paused
NEW_SKU_CAMPAIGN	CH0110BYL	Paused
NEW_SKU_CAMPAIGN	CH0110CBL	Paused
NEW_SKU_CAMPAIGN	CH0110CRD	Paused
NEW_SKU_CAMPAIGN	CH0110CYL	Paused
NEW_SKU_CAMPAIGN	CH1400X100	Active
NEW_SKU_CAMPAIGN	CH6001GR	Paused
NEW_SKU_CAMPAIGN	CH6001OR	Paused
NEW_SKU_CAMPAIGN	CH6001RD	Paused
NEW_SKU_CAMPAIGN	CH6001WT	Paused
NEW_SKU_CAMPAIGN	CH8093GR	Paused
NEW_SKU_CAMPAIGN	CH9001	Active
NEW_SKU_CAMPAIGN	CH9001BL	Active
NEW_SKU_CAMPAIGN	CH9001GR	Paused
NEW_SKU_CAMPAIGN	CH9001YL	Paused
NEW_SKU_CAMPAIGN	CHT3613	Paused
NEW_SKU_CAMPAIGN	CHT4702	Paused
NEW_SKU_CAMPAIGN	CK0101	Paused
NEW_SKU_CAMPAIGN	CK0102	Paused
NEW_SKU_CAMPAIGN	CK0103	Paused
NEW_SKU_CAMPAIGN	CK0104	Paused
NEW_SKU_CAMPAIGN	CK0937	Paused
NEW_SKU_CAMPAIGN	CK1058	Paused
NEW_SKU_CAMPAIGN	CK6201	Paused
NEW_SKU_CAMPAIGN	CK6450	Paused
NEW_SKU_CAMPAIGN	CK7510	Paused
NEW_SKU_CAMPAIGN	CL0155	Paused
NEW_SKU_CAMPAIGN	CL0156	Paused
NEW_SKU_CAMPAIGN	CL0187	Paused
NEW_SKU_CAMPAIGN	CL0260	Paused
NEW_SKU_CAMPAIGN	CL0285	Paused
NEW_SKU_CAMPAIGN	CL0570	Paused
NEW_SKU_CAMPAIGN	CL2480	Paused
NEW_SKU_CAMPAIGN	CL2480SL	Paused
NEW_SKU_CAMPAIGN	CL2616	Paused
NEW_SKU_CAMPAIGN	CL2900	Paused
NEW_SKU_CAMPAIGN	CL4040	Paused
NEW_SKU_CAMPAIGN	CL5523	Paused
NEW_SKU_CAMPAIGN	CL7022BG	Paused
NEW_SKU_CAMPAIGN	CL7022BK	Paused
NEW_SKU_CAMPAIGN	CL7022BKBL	Paused
NEW_SKU_CAMPAIGN	CL7022BW	Paused
NEW_SKU_CAMPAIGN	CL7022RD	Paused
NEW_SKU_CAMPAIGN	CL7700BG	Paused
NEW_SKU_CAMPAIGN	CL7700BK	Active
NEW_SKU_CAMPAIGN	CL7700RD	Paused
NEW_SKU_CAMPAIGN	CL7700YL	Paused
NEW_SKU_CAMPAIGN	CM2628	Paused
NEW_SKU_CAMPAIGN	CM3530	Paused
NEW_SKU_CAMPAIGN	CM6500	Paused
NEW_SKU_CAMPAIGN	CN0070	Paused
NEW_SKU_CAMPAIGN	CN0070BL	Paused
NEW_SKU_CAMPAIGN	CN0070OR	Paused
NEW_SKU_CAMPAIGN	CN0311	Paused
NEW_SKU_CAMPAIGN	CN0800	Paused
NEW_SKU_CAMPAIGN	CP0355	Active
NEW_SKU_CAMPAIGN	CP2158	Active
NEW_SKU_CAMPAIGN	CP4011	Active
NEW_SKU_CAMPAIGN	CP5190	Paused
NEW_SKU_CAMPAIGN	CP6200	Paused
NEW_SKU_CAMPAIGN	CP6200BL	Paused
NEW_SKU_CAMPAIGN	CP6200GR	Paused
NEW_SKU_CAMPAIGN	CP6200KB	Paused
NEW_SKU_CAMPAIGN	CP6200LGR	Paused
NEW_SKU_CAMPAIGN	CP6220	Active
NEW_SKU_CAMPAIGN	CPL001	Paused
NEW_SKU_CAMPAIGN	CR0001	Active
NEW_SKU_CAMPAIGN	CR0996	Paused
NEW_SKU_CAMPAIGN	CR1000	Active
NEW_SKU_CAMPAIGN	CR1073	Paused
NEW_SKU_CAMPAIGN	CR1073BK	Active
NEW_SKU_CAMPAIGN	CR1090	Active
NEW_SKU_CAMPAIGN	CR1090YL	Active
NEW_SKU_CAMPAIGN	CR1380	Active
NEW_SKU_CAMPAIGN	CR1509	Paused
NEW_SKU_CAMPAIGN	CR1509BK	Paused
NEW_SKU_CAMPAIGN	CR1509WT	Paused
NEW_SKU_CAMPAIGN	CR1509YL	Paused
NEW_SKU_CAMPAIGN	CR1510	Paused
NEW_SKU_CAMPAIGN	CR1510YL	Paused
NEW_SKU_CAMPAIGN	CR1550	Paused
NEW_SKU_CAMPAIGN	CR1550BR	Paused
NEW_SKU_CAMPAIGN	CR1900	Paused
NEW_SKU_CAMPAIGN	CR1900BK	Active
NEW_SKU_CAMPAIGN	CR1900GE	Paused
NEW_SKU_CAMPAIGN	CR1900OR	Paused
NEW_SKU_CAMPAIGN	CR2404	Active
NEW_SKU_CAMPAIGN	CR2494	Paused
NEW_SKU_CAMPAIGN	CR2494BL	Active
NEW_SKU_CAMPAIGN	CR2494YL	Paused
NEW_SKU_CAMPAIGN	CR5016	Paused
NEW_SKU_CAMPAIGN	CR6501	Paused
NEW_SKU_CAMPAIGN	CR6501BL	Paused
NEW_SKU_CAMPAIGN	CR6501SL	Paused
