SKU	QUANTITY TO LIST	DIS PRICE	SHIP PRICE	FREE SHIP SELL PRICE X 0.9	DAYS	LISTING TYPE
KB1350	1	45.95	13.45	54	Days_5	Auction
KI2069	1	32.95	10	39	Days_5	Auction
KO1101LX	1	54.95	12.3	61	Days_5	Auction
KS4005	1	18.95	10.8	27	Days_5	Auction
KS5005	1	20.95	8.95	27	Days_5	Auction
KT1100	1	38.95	12.4	47	Days_5	Auction
LF0076	1	28.95	9.8	35	Days_5	Auction
LI0632	1	31.95	8.85	37	Days_5	Auction
LI0668XH	1	36.95	8.25	41	Days_5	Auction
LI0685BL	1	33.95	8.85	39	Days_5	Auction
LI2131	1	25.95	9	32	Days_5	Auction
LI6160BL	1	29.95	8.95	36	Days_5	Auction
LI9090BL	1	31.95	8.85	37	Days_5	Auction
LI9643BL	1	33.95	8.9	39	Days_5	Auction
LI9643GR	1	33.95	8.9	39	Days_5	Auction
LJ2176	1	61.95	9.95	65	Days_5	Auction
LJ2193	1	101.95	35.45	124	Days_5	Auction
LJ2226	1	71.95	14.95	79	Days_5	Auction
LJ3175	1	47.95	12.65	55	Days_5	Auction
LJ6115	1	20.95	8.95	27	Days_5	Auction
LJ7737	1	37.95	9.45	43	Days_5	Auction
LJ8521BK	1	65.95	16.95	75	Days_5	Auction
LJ8521RD	1	65.95	16.95	75	Days_5	Auction
LJ9355	1	90.95	16.95	98	Days_5	Auction
LK7588	1	38.95	8.9	44	Days_5	Auction
LS2042	1	27.95	9.8	34	Days_5	Auction
LZ1370GE	1	42.95	10.4	49	Days_5	Auction
MK2564	1	10.95	8.95	18	Days_5	Auction
MK2571BL	1	52.95	8.95	56	Days_5	Auction
MO0270	1	72.95	10.6	76	Days_5	Auction
MP9800	1	33.95	9.4	40	Days_5	Auction
MR7500	1	28.95	11.3	37	Days_5	Auction
MS2427	1	14.95	7.7	21	Days_5	Auction
MX3520	1	94.95	10.4	95	Days_5	Auction
NF6003	1	40.95	11.45	48	Days_5	Auction
NF6031	1	26.95	8.95	33	Days_5	Auction
NK2798BR	1	114.95	24.95	126	Days_5	Auction
NK2800	1	31.95	11.45	40	Days_5	Auction
NK2824	1	47.95	9.95	53	Days_5	Auction
NL2847	1	85.95	16.95	93	Days_5	Auction
NL2906	1	19.95	8.95	27	Days_5	Auction
NL2994	1	18.95	8.95	26	Days_5	Auction
NL3088BL	1	60.95	9.98	64	Days_5	Auction
PA0500	1	128.95	16.4	131	Days_5	Auction
PB0025	1	75.95	10.7	78	Days_5	Auction
PB8803	1	31.95	8.95	37	Days_5	Auction
PB8804	1	43.95	9.4	49	Days_5	Auction
PC0009	1	54.95	14.95	63	Days_5	Auction
PC0075	1	31.95	11.5	40	Days_5	Auction
PC0286	1	85.95	17.2	93	Days_5	Auction
PC6688	1	103.95	11.7	105	Days_5	Auction
PC6699	1	97.95	11.8	99	Days_5	Auction
PE0003	1	83.95	24.5	98	Days_5	Auction
PF0016	1	41.95	8.2	46	Days_5	Auction
PF0150BL	1	46.95	8.5	50	Days_5	Auction
PF1900	1	45.95	8.95	50	Days_5	Auction
PF7001	1	40.95	9.6	46	Days_5	Auction
PH4950	1	128.95	11.1	127	Days_5	Auction
PH4950BL	1	128.95	8.98	125	Days_5	Auction
PL2513	1	26.95	8.95	33	Days_5	Auction
PL5000	1	20.95	9.3	28	Days_5	Auction
PN3573	1	43.95	8.25	47	Days_5	Auction
PN3648	1	39.95	9.95	45	Days_5	Auction
PN3742	1	37.95	8.95	43	Days_5	Auction
PN3743YL	1	136.95	39.95	160	Days_5	Auction
PP1450	1	44.95	10.4	50	Days_5	Auction
PR0045	1	64.95	18.65	76	Days_5	Auction
PS0005	1	43.95	8.6	48	Days_5	Auction
PS0150	1	41.95	7.8	45	Days_5	Auction
PS1803GR	1	109.95	18.4	116	Days_5	Auction
PT0680	1	183.95	42.3	204	Days_5	Auction
PT4371	1	190.95	21.4	192	Days_5	Auction
QO3905	1	30.95	8.95	36	Days_5	Auction
QO3909	1	45.95	11.95	53	Days_5	Auction
QO3909DF	1	37.95	11.95	45	Days_5	Auction
RB0065YL	1	25.95	10.8	34	Days_5	Auction
RC0060RD	1	35.95	8.9	41	Days_5	Auction
RC0060YL	1	35.95	8.9	41	Days_5	Auction
RC3427YL	1	31.95	8.25	37	Days_5	Auction
RG0220	1	57.95	9.3	61	Days_5	Auction
RK7555BR	1	18.95	8.85	26	Days_5	Auction
RK7555GR	1	18.95	7.2	24	Days_5	Auction
RK7555RP	1	18.95	8.95	26	Days_5	Auction
RK7555YL	1	18.95	9.45	26	Days_5	Auction
RO9811GR	1	115.95	39	140	Days_5	Auction
RP0746	1	54.95	8.95	58	Days_5	Auction
